Altium Designer Pick and Place Locations
E:\Altium\STM32F103ZEU6\Demo\Project Outputs for Demo\Pick Place\Pick Place for PCB1.txt

========================================================================================================================
File Design Information:

Date:       02/01/24
Time:       20:19
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment               Layer       Footprint                       Center-X(mm) Center-Y(mm) Rotation 
R4         AF0402JR-074K7L       BottomLayer FP-AF0402-IPC_B                 71.2946      43.6880      180      
Y2         25.0MHZ               TopLayer    FP-ABM8G-MFG                    51.9040      69.6390      90       
Y1         ABS07-120-32.768KHZ-T TopLayer    FP-ABS07-120-MFG                76.8350      54.4630      270      
X1         8M                    TopLayer    OSC_3225-4P                     71.5350      54.1410      0        
U12        IS62WV51216BLL-55TLI  TopLayer    ISSI-TSOP-2-44_N                34.3980      47.2570      90       
U11        W25Q256JVEIQ          TopLayer    W25Q256JVEIQ                    61.3726      59.3570      180      
U10        AT24C04C-MAHM-T       TopLayer    FP-C04-21355-Q4B-IPC_B          78.0765      27.0630      0        
U9         BW16                  TopLayer    BW16                            94.9949      67.3250      0        
U8         TPS63001DRCR          TopLayer    DRC0010J_V                      89.5350      32.2580      90       
U7         STM32F103ZEH6         TopLayer    STM-LFBGA144                    64.7890      43.6440      270      
U6         RT9193-18GB           TopLayer    SOT94P279X130-5N                49.9945      30.0355      180      
U4         LIS2DS12TR            TopLayer    FP-LGA12_8566956-MFG            88.7770      18.1615      0        
U5         BMP390                TopLayer    BMP390                          70.2310      27.8130      0        
U2         MAX30102EFD+          TopLayer    FP-F143A5-1-MFG                 50.1650      19.9390      180      
U3         SHT40-AD1B-R2         TopLayer    FP-SHT40-AD1B-R2-MFG            72.6630      19.2390      270      
U1         ENS160                TopLayer    ENS_160                         79.6630      20.0660      0        
TF1        473092651             TopLayer    TF-SMD_47309-2285               104.0259     49.8920      90       
T1         7499010121A           TopLayer    7499010121A                     21.3931      68.7070      270      
SW3        SKPMAPE010            TopLayer    KEY-SMD_2P-L6.0-W6.0-P6.00      12.9540      39.8780      180      
SW2        SKPMAPE010            TopLayer    KEY-SMD_2P-L6.0-W6.0-P6.00      12.9540      52.5780      180      
SW1        SKPMAPE010            TopLayer    KEY-SMD_2P-L6.0-W6.0-P6.00      12.9540      46.2280      180      
R48        "10K 0603"            BottomLayer 5.1K_0603                       31.5310      44.0690      180      
R47        5.1K                  TopLayer    5.1K_0603                       97.3740      26.5430      180      
R46        ERJ-3EKF22R0V         TopLayer    RESC1608X55X30LL15T15           97.4090      22.3520      180      
R45        ERJ-3EKF22R0V         TopLayer    RESC1608X55X30LL15T15           97.4090      23.6220      180      
R44        5.1K                  TopLayer    5.1K_0603                       97.3740      20.9550      180      
R43        "1.5K 0603"           TopLayer    5.1K_0603                       97.3170      25.0190      180      
R42        RC0603FR-071KL        BottomLayer FP-RC0603-0_55-IPC_C            21.8440      24.2153      270      
R41        RC0603FR-0710KL       BottomLayer FP-RC0603-0_55-IPC_C            19.1353      23.6220      0        
R40        RT0603DRE0710RL       BottomLayer FP-RT0603-MFG                   21.8440      27.0510      270      
